[WARNING] | 15:17:03 30-Mar-22 | main_repeat.py:433 | Time to run: 153.93280935287476
[WARNING] | 15:17:03 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 15:19:31 30-Mar-22 | main_repeat.py:433 | Time to run: 148.37353229522705
[WARNING] | 15:19:31 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 15:22:02 30-Mar-22 | main_repeat.py:433 | Time to run: 150.6413917541504
[WARNING] | 15:22:02 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 15:24:33 30-Mar-22 | main_repeat.py:433 | Time to run: 150.9872326850891
[WARNING] | 15:24:33 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 15:26:59 30-Mar-22 | main_repeat.py:433 | Time to run: 145.75229716300964
[WARNING] | 15:26:59 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 15:29:24 30-Mar-22 | main_repeat.py:433 | Time to run: 144.99243807792664
[WARNING] | 17:26:29 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 17:27:26 30-Mar-22 | main_repeat.py:433 | Time to run: 57.719674587249756
[WARNING] | 17:27:26 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 17:29:03 30-Mar-22 | main_repeat.py:433 | Time to run: 96.54571866989136
[WARNING] | 17:29:03 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 17:31:35 30-Mar-22 | main_repeat.py:433 | Time to run: 151.6927342414856
[WARNING] | 17:31:35 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 17:34:52 30-Mar-22 | main_repeat.py:433 | Time to run: 196.98443293571472
[WARNING] | 17:34:52 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 17:39:00 30-Mar-22 | main_repeat.py:433 | Time to run: 248.58647894859314
[WARNING] | 17:39:00 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 17:44:08 30-Mar-22 | main_repeat.py:433 | Time to run: 307.4330253601074
[WARNING] | 17:44:08 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 17:49:56 30-Mar-22 | main_repeat.py:433 | Time to run: 348.9020302295685
[WARNING] | 17:49:56 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 17:56:37 30-Mar-22 | main_repeat.py:433 | Time to run: 400.9318070411682
[WARNING] | 17:56:37 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 18:04:02 30-Mar-22 | main_repeat.py:433 | Time to run: 444.4452350139618
[WARNING] | 18:04:02 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 18:12:28 30-Mar-22 | main_repeat.py:433 | Time to run: 506.2245409488678
[WARNING] | 18:12:28 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 18:21:42 30-Mar-22 | main_repeat.py:433 | Time to run: 554.221284866333
[WARNING] | 18:21:42 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 18:31:57 30-Mar-22 | main_repeat.py:433 | Time to run: 614.3774886131287
[WARNING] | 18:31:57 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 18:43:02 30-Mar-22 | main_repeat.py:433 | Time to run: 665.0155417919159



[WARNING] | 19:16:38 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 19:18:49 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 19:19:29 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 19:21:02 30-Mar-22 | main_repeat.py:433 | Time to run: 93.53913474082947
[WARNING] | 19:21:02 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 19:22:56 30-Mar-22 | main_repeat.py:433 | Time to run: 113.52985858917236
[WARNING] | 19:22:56 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 19:25:00 30-Mar-22 | main_repeat.py:433 | Time to run: 124.1375527381897
[WARNING] | 19:25:00 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 19:27:12 30-Mar-22 | main_repeat.py:433 | Time to run: 132.72370076179504
[WARNING] | 19:27:12 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 19:29:31 30-Mar-22 | main_repeat.py:433 | Time to run: 138.74769926071167
[WARNING] | 19:29:31 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 19:31:49 30-Mar-22 | main_repeat.py:433 | Time to run: 137.93815922737122
[WARNING] | 19:31:49 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 19:34:18 30-Mar-22 | main_repeat.py:433 | Time to run: 149.24585795402527
[WARNING] | 19:34:18 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 19:37:34 30-Mar-22 | main_repeat.py:433 | Time to run: 196.07108116149902
[WARNING] | 19:37:34 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 19:41:25 30-Mar-22 | main_repeat.py:433 | Time to run: 231.10135650634766
[WARNING] | 19:41:25 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 19:45:15 30-Mar-22 | main_repeat.py:433 | Time to run: 229.2673454284668
[WARNING] | 19:45:15 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 19:49:03 30-Mar-22 | main_repeat.py:433 | Time to run: 228.09980869293213
[WARNING] | 19:49:03 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 19:52:47 30-Mar-22 | main_repeat.py:433 | Time to run: 223.96884894371033
[WARNING] | 19:52:47 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 19:56:34 30-Mar-22 | main_repeat.py:433 | Time to run: 227.1136441230774
[WARNING] | 19:56:34 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 19:59:19 30-Mar-22 | main_repeat.py:433 | Time to run: 164.86863899230957
[WARNING] | 19:59:19 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 20:01:53 30-Mar-22 | main_repeat.py:433 | Time to run: 153.7456669807434
[WARNING] | 20:01:53 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 20:04:21 30-Mar-22 | main_repeat.py:433 | Time to run: 148.261549949646
[WARNING] | 20:04:21 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 20:06:48 30-Mar-22 | main_repeat.py:433 | Time to run: 147.27221202850342
[WARNING] | 20:06:48 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 20:09:13 30-Mar-22 | main_repeat.py:433 | Time to run: 144.73920607566833
[WARNING] | 20:09:13 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 20:11:39 30-Mar-22 | main_repeat.py:433 | Time to run: 146.44991874694824
[WARNING] | 20:11:39 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 20:14:03 30-Mar-22 | main_repeat.py:433 | Time to run: 143.86502361297607
[WARNING] | 20:14:03 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 20:16:27 30-Mar-22 | main_repeat.py:433 | Time to run: 143.77328491210938
[WARNING] | 20:16:27 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 20:18:47 30-Mar-22 | main_repeat.py:433 | Time to run: 139.68428826332092
[WARNING] | 20:18:47 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 20:21:07 30-Mar-22 | main_repeat.py:433 | Time to run: 140.89273309707642
[WARNING] | 20:21:07 30-Mar-22 | main_repeat.py:48 | START PROGRAM
[WARNING] | 20:23:26 30-Mar-22 | main_repeat.py:433 | Time to run: 138.61092853546143
