[WARNING] | 19:40:08 30-Mar-22 | main_repeat2.py:420 | Time to run: 26.2879900932312
[WARNING] | 19:40:08 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:40:34 30-Mar-22 | main_repeat2.py:420 | Time to run: 25.551915407180786
[WARNING] | 19:40:34 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:41:00 30-Mar-22 | main_repeat2.py:420 | Time to run: 26.156413793563843
[WARNING] | 19:41:00 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:41:25 30-Mar-22 | main_repeat2.py:420 | Time to run: 25.387945890426636
[WARNING] | 19:41:25 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:41:50 30-Mar-22 | main_repeat2.py:420 | Time to run: 25.066792726516724
[WARNING] | 19:41:50 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:42:16 30-Mar-22 | main_repeat2.py:420 | Time to run: 25.530458450317383
[WARNING] | 19:42:16 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:42:41 30-Mar-22 | main_repeat2.py:420 | Time to run: 25.018813133239746
[WARNING] | 19:42:41 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:43:07 30-Mar-22 | main_repeat2.py:420 | Time to run: 25.872786283493042
[WARNING] | 19:43:07 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:43:31 30-Mar-22 | main_repeat2.py:420 | Time to run: 24.453989505767822
[WARNING] | 19:43:31 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:43:56 30-Mar-22 | main_repeat2.py:420 | Time to run: 24.95949912071228
[WARNING] | 19:43:56 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:44:21 30-Mar-22 | main_repeat2.py:420 | Time to run: 25.199269771575928
[WARNING] | 19:44:21 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:44:46 30-Mar-22 | main_repeat2.py:420 | Time to run: 24.859833240509033
[WARNING] | 19:44:46 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:45:11 30-Mar-22 | main_repeat2.py:420 | Time to run: 24.656494617462158
[WARNING] | 19:45:11 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:45:35 30-Mar-22 | main_repeat2.py:420 | Time to run: 23.979960203170776
[WARNING] | 19:45:35 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:45:59 30-Mar-22 | main_repeat2.py:420 | Time to run: 23.945865631103516
[WARNING] | 19:45:59 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:46:22 30-Mar-22 | main_repeat2.py:420 | Time to run: 23.725953340530396
[WARNING] | 19:46:22 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:46:46 30-Mar-22 | main_repeat2.py:420 | Time to run: 23.19170570373535
[WARNING] | 19:46:46 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:47:09 30-Mar-22 | main_repeat2.py:420 | Time to run: 23.937303066253662
[WARNING] | 19:47:09 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:47:33 30-Mar-22 | main_repeat2.py:420 | Time to run: 23.471925973892212
[WARNING] | 19:47:33 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:47:55 30-Mar-22 | main_repeat2.py:420 | Time to run: 22.412864685058594
[WARNING] | 19:47:55 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:48:19 30-Mar-22 | main_repeat2.py:420 | Time to run: 23.352193355560303
[WARNING] | 19:48:19 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:48:42 30-Mar-22 | main_repeat2.py:420 | Time to run: 23.178321838378906
[WARNING] | 19:48:42 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:49:04 30-Mar-22 | main_repeat2.py:420 | Time to run: 22.56919765472412
[WARNING] | 19:49:04 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:49:28 30-Mar-22 | main_repeat2.py:420 | Time to run: 23.11811876296997
[WARNING] | 19:49:28 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:49:51 30-Mar-22 | main_repeat2.py:420 | Time to run: 23.122007369995117
[WARNING] | 19:49:51 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:50:13 30-Mar-22 | main_repeat2.py:420 | Time to run: 22.582132816314697
[WARNING] | 19:50:13 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:50:36 30-Mar-22 | main_repeat2.py:420 | Time to run: 23.159990549087524
[WARNING] | 19:50:36 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:50:59 30-Mar-22 | main_repeat2.py:420 | Time to run: 22.099661350250244
[WARNING] | 19:50:59 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:51:21 30-Mar-22 | main_repeat2.py:420 | Time to run: 22.284753799438477
[WARNING] | 19:51:21 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:51:43 30-Mar-22 | main_repeat2.py:420 | Time to run: 22.171361446380615
[WARNING] | 19:51:43 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:52:06 30-Mar-22 | main_repeat2.py:420 | Time to run: 22.673975706100464
[WARNING] | 19:52:06 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:52:28 30-Mar-22 | main_repeat2.py:420 | Time to run: 22.427788019180298
[WARNING] | 19:52:28 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:52:50 30-Mar-22 | main_repeat2.py:420 | Time to run: 22.317384958267212
[WARNING] | 19:52:50 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:53:12 30-Mar-22 | main_repeat2.py:420 | Time to run: 21.096214771270752
[WARNING] | 19:53:12 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:53:33 30-Mar-22 | main_repeat2.py:420 | Time to run: 21.949196338653564
[WARNING] | 19:53:33 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:53:55 30-Mar-22 | main_repeat2.py:420 | Time to run: 21.66551685333252
[WARNING] | 19:53:55 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:54:18 30-Mar-22 | main_repeat2.py:420 | Time to run: 22.75215458869934
[WARNING] | 19:54:18 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:54:40 30-Mar-22 | main_repeat2.py:420 | Time to run: 21.836000680923462
[WARNING] | 19:54:40 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:55:01 30-Mar-22 | main_repeat2.py:420 | Time to run: 21.5310959815979
[WARNING] | 19:55:01 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:55:23 30-Mar-22 | main_repeat2.py:420 | Time to run: 21.816490173339844
[WARNING] | 19:55:23 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:55:45 30-Mar-22 | main_repeat2.py:420 | Time to run: 21.794670820236206
[WARNING] | 19:55:45 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:56:07 30-Mar-22 | main_repeat2.py:420 | Time to run: 22.080791234970093
[WARNING] | 19:56:07 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:56:28 30-Mar-22 | main_repeat2.py:420 | Time to run: 21.441890954971313
[WARNING] | 19:56:28 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:56:51 30-Mar-22 | main_repeat2.py:420 | Time to run: 22.61156463623047
[WARNING] | 19:56:51 30-Mar-22 | main_repeat2.py:48 | START PROGRAM
[WARNING] | 19:57:12 30-Mar-22 | main_repeat2.py:420 | Time to run: 21.258902311325073
